번호,동코드,건물명,검색용_쿼리1,검색용_쿼리2
1,A01,법학전문대학원 1호관,전남대학교 법학전문대학원 1호관,법학전문대학원 1호관
2,A02,법학전문대학원 프라임관,전남대학교 법학전문대학원 프라임관,법학전문대학원 프라임관
3,A03,법학전문대학원 2호관,전남대학교 법학전문대학원 2호관,법학전문대학원 2호관
4,A04,제2학생마루(제2학생회관),전남대학교 제2학생마루(제2학생회관),제2학생마루(제2학생회관)
5,A05,사회과학대학관,전남대학교 사회과학대학관,사회과학대학관
6,A06,농업생명과학대학 3호관,전남대학교 농업생명과학대학 3호관,농업생명과학대학 3호관
7,A07,농업생명과학대학 2호관,전남대학교 농업생명과학대학 2호관,농업생명과학대학 2호관
8,A08,농업생명과학대학 4호관,전남대학교 농업생명과학대학 4호관,농업생명과학대학 4호관
9,A09,농업생명과학대학 1호관,전남대학교 농업생명과학대학 1호관,농업생명과학대학 1호관
10,A10,생활관 8동 한울관,전남대학교 생활관 8동 한울관,생활관 8동 한울관
11,A11,생활관 7동 이룰관,전남대학교 생활관 7동 이룰관,생활관 7동 이룰관
12,A14,농업생명과학대학 5호관,전남대학교 농업생명과학대학 5호관,농업생명과학대학 5호관
13,A15,수의과대학 동물병원,전남대학교 수의과대학 동물병원,수의과대학 동물병원
14,A16,수의과대학 1호관,전남대학교 수의과대학 1호관,수의과대학 1호관
15,A17,수의과대학 실험동물사,전남대학교 수의과대학 실험동물사,수의과대학 실험동물사
16,A18,수의과대학 2호관,전남대학교 수의과대학 2호관,수의과대학 2호관
17,A19,사범대학부설 중고등학교,전남대학교 사범대학부설 중고등학교,사범대학부설 중고등학교
18,A23,치의학전문대학원 임상교육관,전남대학교 치의학전문대학원 임상교육관,치의학전문대학원 임상교육관
19,A24,친환경농업연구소,전남대학교 친환경농업연구소,친환경농업연구소
20,A25,치의학전문대학원 교육연구관,전남대학교 치의학전문대학원 교육연구관,치의학전문대학원 교육연구관
21,B01,용봉관,전남대학교 용봉관,용봉관
